location,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653
variable,Temperature,Temperature,Temperature
unit,°C,°C,°C
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected
resolution,daily,daily,daily
aggregation,Maximum,Minimum,Mean
timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected]
20200311T0000,15.630245,9.820246,12.392746
20200312T0000,15.670245,9.570246,12.417747
20200313T0000,12.130245,3.8602452,8.594829
20200314T0000,10.720245,0.7402454,5.7373295
20200315T0000,15.480246,0.3702454,7.0089946
20200316T0000,17.470245,1.9302454,9.841079
20200317T0000,17.150246,7.400245,11.254411
20200318T0000,19.070246,4.0802455,11.118996
20200319T0000,19.280245,4.5202456,11.388161
20200320T0000,19.300245,7.210245,12.501912
20200321T0000,8.8102455,5.5302453,7.1527443
20200322T0000,9.820246,2.2602453,6.089828
20200323T0000,10.420245,-2.1097546,3.6477454
20200324T0000,10.760245,-3.8597546,3.585245
20200325T0000,10.250245,-2.1697545,3.8952456
20200326T0000,9.710245,-2.2097545,3.3119123
20200327T0000,13.460245,-1.0797546,6.401495
20200328T0000,17.060246,0.5502454,9.505244
20200329T0000,8.260245,3.0602455,5.6985784
20200330T0000,6.380245,-0.90975463,3.3377454
20200331T0000,10.800245,-3.2997546,3.6752453
20200401T0000,12.040245,-1.9397546,4.3577456
20200402T0000,14.960245,-2.6797547,6.118995
20200403T0000,13.460245,-0.20975459,7.502745
20200404T0000,17.060246,-0.64975464,8.430245
20200405T0000,19.980246,2.1102452,10.9527445
20200406T0000,22.080246,3.5002456,12.564411
20200407T0000,23.680244,3.8402452,13.584828
20200408T0000,22.770245,4.6402454,14.146079
20200409T0000,23.020245,6.6202455,14.606495
20200410T0000,23.250246,4.8102455,14.376079
20200411T0000,23.430244,6.1602454,14.696495
20200412T0000,23.610245,8.690246,15.953576
20200413T0000,22.110245,8.570246,14.871078
20200414T0000,13.710245,2.8102455,8.221495
20200415T0000,19.570246,-0.16975462,10.059411
20200416T0000,23.600245,4.420245,14.423164
20200417T0000,24.410246,8.780245,16.80816
20200418T0000,23.020245,9.140245,16.53733
20200419T0000,22.540245,8.910245,16.855661
20200420T0000,20.810246,11.870245,16.242746
20200421T0000,20.200245,9.350245,14.108162
20200422T0000,23.350245,6.980245,14.823161
20200423T0000,23.290245,5.610245,14.971913
20200424T0000,23.810246,6.480245,16.047327
20200425T0000,22.340246,11.270246,16.58358
20200426T0000,19.850245,9.980246,14.280246
20200427T0000,22.670246,9.550245,16.108995
20200428T0000,17.090246,11.840245,14.562327
20200429T0000,16.240246,10.250245,12.788581
20200430T0000,13.5602455,10.770246,11.928161
20200501T0000,12.840245,10.700245,11.626495
20200502T0000,14.230246,6.1802454,10.602744
20200503T0000,17.400246,4.0302453,11.556496
20200504T0000,22.310246,9.470245,15.930244
20200505T0000,14.650246,11.290245,12.773578
20200506T0000,18.080246,7.4902453,12.339412
20200507T0000,23.050245,3.1002455,13.821496
20200508T0000,25.710245,8.790245,17.881079
20200509T0000,25.920246,12.5602455,19.406912
20200510T0000,24.740246,14.870245,19.472746
20200511T0000,16.950245,4.3102455,9.929412
20200512T0000,13.870245,4.0802455,9.168162
20200513T0000,10.860246,7.3902454,9.700663
20200514T0000,13.530245,8.900246,11.099412
20200515T0000,15.990245,9.250245,12.816078
20200516T0000,19.990246,5.6602454,12.974411
20200517T0000,21.180244,8.350245,14.910661
20200518T0000,24.180244,9.270246,16.92816
20200519T0000,25.120245,11.780245,19.329828
20200520T0000,24.880245,12.710245,19.580662
20200521T0000,26.820246,10.920245,20.05733
20200522T0000,27.590246,12.940246,20.798994
20200523T0000,20.230246,8.280246,14.500661
20200524T0000,19.550245,8.250245,13.888997
20200525T0000,20.330246,8.320246,15.074412
20200526T0000,22.130245,8.130245,16.002329
20200527T0000,24.000246,8.010245,16.686913
20200528T0000,23.380245,9.620245,17.485247
20200529T0000,22.620245,9.030245,16.58566
20200530T0000,22.420246,8.960245,16.438578
20200531T0000,23.490246,8.250245,16.501076
20200601T0000,27.200245,9.190246,18.660662
20200602T0000,27.930244,10.410245,20.094414
20200603T0000,26.990246,13.330245,19.974413
20200604T0000,19.070246,13.950245,16.407331
20200605T0000,16.490246,12.870245,14.191079
20200606T0000,16.690245,13.210245,15.154827
20200607T0000,16.280245,11.480246,13.646913
20200608T0000,19.620245,11.240245,15.146495
20200609T0000,14.950245,11.8102455,13.79983
20200610T0000,18.170246,13.010245,15.006077
20200611T0000,21.620245,13.170245,16.83858
20200612T0000,26.630245,11.520246,19.53816
20200613T0000,22.880245,13.820246,17.518162
20200614T0000,18.910246,13.920245,16.241495
20200615T0000,21.100245,13.010245,17.526915
20200616T0000,22.300245,13.500245,18.260244
20200617T0000,16.670246,11.660245,15.190661
20200618T0000,21.510244,11.350245,16.458578
20200619T0000,19.370245,12.690246,15.984828
20200620T0000,22.480246,11.5602455,17.346912
20200621T0000,25.100245,12.510245,19.440245
20200622T0000,25.650246,15.780245,20.376081
20200623T0000,28.410246,13.160245,21.309828
20200624T0000,29.970245,13.660245,22.245245
20200625T0000,29.470245,14.220245,22.348993
20200626T0000,27.010244,16.800245,21.852743
20200627T0000,28.350245,17.260244,22.846079
20200628T0000,25.530245,16.200245,21.091078
20200629T0000,23.600245,14.510245,18.717329
20200630T0000,25.550245,12.660245,19.364412
20200701T0000,30.320246,15.150246,23.17108
20200702T0000,23.460245,18.770245,20.716078
20200703T0000,23.110245,15.770246,19.278578
20200704T0000,26.300245,12.430245,20.380245
20200705T0000,28.300245,17.120245,22.64691
20200706T0000,23.750246,13.610246,19.476912
20200707T0000,24.760244,9.660245,18.290663
20200708T0000,28.430244,10.910245,21.057745
20200709T0000,32.190247,14.440246,23.993582
20200710T0000,29.850245,17.840246,23.779829
20200711T0000,24.460245,14.930245,19.638577
20200712T0000,26.900246,11.5602455,19.909412
20200713T0000,27.920246,11.520246,20.596495
20200714T0000,28.990246,14.330245,22.20066
20200715T0000,20.230246,16.690245,18.875246
20200716T0000,19.010244,16.150246,17.175243
20200717T0000,22.270245,15.700245,18.331495
20200718T0000,27.150246,13.570246,20.595247
20200719T0000,30.040245,11.770246,21.868996
20200720T0000,31.880245,14.630245,24.301912
20200721T0000,28.430244,16.980246,23.251495
20200722T0000,30.070246,16.130245,23.704828
20200723T0000,30.350245,17.940245,24.021494
20200724T0000,25.780245,17.540245,21.317745
20200725T0000,29.980246,15.330245,23.334412
20200726T0000,27.590246,17.860245,22.915247
20200727T0000,34.570248,15.750245,25.356913
20200728T0000,30.230246,20.460245,25.716494
20200729T0000,30.190245,16.570246,23.487745
20200730T0000,34.060246,13.730246,24.741081
20200731T0000,37.20025,17.680244,28.0615
20200801T0000,33.070248,21.460245,27.444412
20200802T0000,24.270245,18.100245,21.011911
20200803T0000,20.730246,14.820246,17.398994
20200804T0000,19.860245,13.360246,16.567327
20200805T0000,26.430244,10.500245,19.08733
20200806T0000,29.320246,12.300245,21.449411
20200807T0000,31.740246,14.700245,23.962328
20200808T0000,33.500248,17.460245,25.765661
20200809T0000,33.890247,17.200245,25.722746
20200810T0000,33.61025,18.110245,25.653997
20200811T0000,32.93025,19.500246,26.354828
20200812T0000,32.810246,19.430244,25.922745
20200813T0000,28.960245,20.110245,24.31524
20200814T0000,25.870245,18.420246,21.916496
20200815T0000,29.120245,16.300245,22.413162
20200816T0000,31.500246,15.580245,23.66941
20200817T0000,26.280245,18.180244,21.513159
20200818T0000,25.680244,16.240246,21.048162
20200819T0000,28.630245,14.820246,22.280243
20200820T0000,34.410248,19.160246,26.571909
20200821T0000,35.440247,18.800245,27.376501
20200822T0000,25.900246,18.680244,22.42566
20200823T0000,24.290245,17.040245,20.557745
20200824T0000,24.860245,14.400246,19.393997
20200825T0000,27.520245,12.260245,20.604412
20200826T0000,27.330246,15.610246,23.175661
20200827T0000,26.020245,11.280245,19.302744
20200828T0000,22.490246,14.230246,17.780664
20200829T0000,18.480246,14.180245,16.073992
20200830T0000,14.800245,11.780245,13.838581
20200831T0000,19.130245,11.180245,15.046081
20200901T0000,19.270245,13.460245,15.979829
20200902T0000,21.720245,10.880245,16.42941
20200903T0000,24.530245,9.3102455,17.133577
20200904T0000,28.760244,10.960245,20.016077
20200905T0000,27.040245,15.210245,20.833578
20200906T0000,19.290245,13.580245,16.979828
20200907T0000,21.990246,12.490245,16.810246
20200908T0000,25.180244,9.580245,17.375664
20200909T0000,27.320246,10.090245,18.613163
20200910T0000,26.550245,11.340245,19.313164
20200911T0000,27.000246,14.260245,20.33941
20200912T0000,28.480246,13.890245,20.779827
20200913T0000,29.610245,11.840245,20.468164
20200914T0000,31.220245,14.390245,22.080246
20200915T0000,32.060246,14.640245,23.180658
20200916T0000,29.850245,15.200245,22.466497
20200917T0000,28.200245,15.950245,21.463995
20200918T0000,26.770245,15.620245,20.488997
20200919T0000,25.030245,14.770246,19.76233
20200920T0000,26.400246,15.190246,19.58316
20200921T0000,26.400246,12.410245,19.501915
20200922T0000,25.710245,14.680245,19.759827
20200923T0000,22.720245,15.890245,18.452745
20200924T0000,22.340246,14.550245,17.843996
20200925T0000,14.460245,9.3102455,11.294414
20200926T0000,9.760245,8.3102455,8.923579
20200927T0000,11.700245,6.170245,9.095662
20200928T0000,15.070246,6.040245,11.008579
20200929T0000,14.380245,10.010245,12.2302475
20200930T0000,18.090246,9.110246,12.415245
20201001T0000,17.240246,9.420245,12.793579
20201002T0000,16.420246,10.730246,13.336911
20201003T0000,14.880245,9.040245,11.20108
20201004T0000,17.000246,10.450245,13.04108
20201005T0000,13.540245,8.920245,11.405663
20201006T0000,15.770246,11.470245,13.031911
20201007T0000,14.220245,10.300245,12.021077
20201008T0000,18.660246,9.300245,13.491913
20201009T0000,18.500246,11.140245,14.317329
20201010T0000,13.440246,6.420245,11.327746
20201011T0000,11.750245,5.130245,7.778162
20201012T0000,11.120245,4.1402454,7.4264965
20201013T0000,11.900246,2.8502455,7.0085793
20201014T0000,12.650246,4.6202455,8.075663
20201015T0000,9.240245,6.8702455,8.237744
20201016T0000,10.450245,8.420245,9.331079
20201017T0000,10.510245,7.2002454,8.612744
20201018T0000,12.070246,5.8202453,8.688162
20201019T0000,13.500245,3.8202453,7.4677453
20201020T0000,16.000246,3.8102455,9.411912
20201021T0000,16.920246,8.940246,12.253578
20201022T0000,18.780245,9.400246,13.678996
20201023T0000,15.030245,12.910245,13.755246
20201024T0000,16.470245,7.5602455,12.611912
20201025T0000,17.150246,7.630245,11.378995
20201026T0000,11.650246,6.610245,8.8223295
20201027T0000,12.180245,6.130245,8.910246
20201028T0000,14.760245,10.770246,12.483578
20201029T0000,13.680245,11.440246,12.43608
20201030T0000,15.630245,6.1402454,12.16983
20201031T0000,14.860246,4.730245,8.571913
20201101T0000,15.680245,8.550245,13.034411
20201102T0000,21.830246,15.350245,17.491495
20201103T0000,15.590245,8.5602455,12.06441
20201104T0000,9.420245,6.8102455,8.173578
20201105T0000,11.640245,6.3902454,8.468995
20201106T0000,11.360246,4.7602453,7.2519116
20201107T0000,12.770246,5.400245,7.899828
20201108T0000,13.330245,6.520245,8.868577
20201109T0000,14.870245,6.4502454,9.364828
20201110T0000,11.290245,5.8002453,7.8685784
20201111T0000,10.920245,6.8102455,8.625245
20201112T0000,14.140245,5.8302455,9.364411
20201113T0000,15.570246,4.3902454,8.979411
20201114T0000,15.990245,5.4302454,8.761495
20201115T0000,16.010246,5.0302453,10.378579
20201116T0000,13.720245,7.6402454,10.498995
20201117T0000,12.820246,3.4102454,7.611496
20201118T0000,12.800245,2.4702454,5.974829
20201119T0000,11.030245,5.520245,8.422745
20201120T0000,7.400245,-0.04975462,5.2448287
20201121T0000,6.0102453,-2.2297544,1.055662
20201122T0000,6.3502455,-2.6797547,1.450662
20201123T0000,9.870245,-0.04975462,3.8144119
20201124T0000,6.5102453,0.4002454,2.9998286
20201125T0000,7.3902454,-0.07975459,2.598579
20201126T0000,8.300245,0.2702454,2.998162
20201127T0000,7.5702453,0.77024543,3.3223286
20201128T0000,5.020245,0.4602454,1.9231621
20201129T0000,3.4002452,-0.7097546,1.3406621
20201130T0000,2.9102454,-1.5297545,0.32774547
20201201T0000,3.1102452,-0.05975461,1.8002454
20201202T0000,3.4302454,1.1102455,2.1719122
20201203T0000,5.790245,0.23024541,2.2264955
20201204T0000,3.6202455,1.9102454,2.8135786
20201205T0000,4.8902454,1.4702454,2.952329
20201206T0000,4.6802454,1.9902455,3.046912
20201207T0000,5.3402452,0.7202454,2.8014953
20201208T0000,3.2702456,1.1402454,2.1302454
20201209T0000,3.0802455,0.77024543,2.1269119
20201210T0000,2.6702452,-1.1297545,0.53274536
20201211T0000,3.0802455,-1.7497545,1.0256621
20201212T0000,7.3002453,3.4902453,6.1785793
20201213T0000,7.460245,2.3702455,5.9494114
20201214T0000,7.7002454,0.8302454,3.634412
20201215T0000,7.790245,4.170245,6.101912
20201216T0000,9.020246,5.650245,6.786495
20201217T0000,9.290245,4.5002456,6.018162
20201218T0000,8.300245,3.3402452,4.921495
20201219T0000,7.110245,1.7202454,4.254412
20201220T0000,8.250245,4.1602454,5.934412
20201221T0000,10.870245,4.380245,7.226911
20201222T0000,14.390245,11.130245,12.780246
20201223T0000,13.610246,10.370245,11.945245
20201224T0000,10.960245,3.7102456,7.468162
20201225T0000,3.8202453,-0.34975457,2.6198287
20201226T0000,3.6002455,-3.4097548,0.03191201
20201227T0000,5.940245,-3.4897547,1.2848287
20201228T0000,4.8002453,2.1802454,3.5835783
20201229T0000,6.0602455,2.7602453,4.7923284
20201230T0000,4.790245,1.8002454,3.1223285
20201231T0000,4.2202454,-0.09975457,2.309412
20210101T0000,3.4202452,1.3502455,2.2239952
20210102T0000,2.8102455,1.1702454,1.9794121
20210103T0000,1.4802454,-0.009754598,0.7623288
20210104T0000,2.2502456,-1.2697546,0.6839954
20210105T0000,1.4302454,0.2902454,0.806912
20210106T0000,1.7102454,0.20024541,0.914412
20210107T0000,3.5602455,0.4202454,1.7673287
20210108T0000,3.0202456,-2.9097548,0.52482873
20210109T0000,2.1402454,-3.9697547,-1.235588
20210110T0000,1.8002454,-2.5197544,-0.98683786
20210111T0000,0.4002454,-4.3597546,-2.6101713
20210112T0000,3.0502453,-2.5597544,1.1581621
20210113T0000,6.7402453,1.2702454,3.6360781
20210114T0000,7.3002453,0.4802454,3.293162
20210115T0000,0.9302454,-7.589755,-1.5672547
20210116T0000,-1.8597547,-12.9397545,-6.851004
20210117T0000,2.6002455,-1.4597546,1.5548286
20210118T0000,3.3702455,-1.8197545,1.6339955
20210119T0000,4.0202456,-3.8097548,0.092745274
20210120T0000,5.230245,-0.8197546,1.7398285
20210121T0000,10.630245,1.5102453,7.260245
20210122T0000,11.320246,2.3902454,8.613162
20210123T0000,5.960245,2.1502454,3.5289948
20210124T0000,4.1002455,0.16024542,1.8589953
20210125T0000,3.2602453,0.8702454,2.0144117
20210126T0000,3.8802452,-0.3697546,1.625662
20210127T0000,3.0702453,-1.7897545,0.97816205
20210128T0000,11.890245,3.2802453,8.324412
20210129T0000,11.180245,7.8702455,9.907744
20210130T0000,8.370246,6.5102453,7.650662
20210131T0000,8.0602455,5.860245,6.6373286
20210201T0000,10.050245,5.9902453,8.287329
20210202T0000,12.340245,8.200246,10.536495
20210203T0000,12.300245,9.800245,11.338996
20210204T0000,10.670245,4.3702455,7.996912
20210205T0000,11.780245,5.690245,8.160661
20210206T0000,8.280246,4.7602453,6.49983
20210207T0000,8.360246,4.2002454,6.0356617
20210208T0000,3.9002452,0.5602454,2.2114952
20210209T0000,1.6002454,-0.52975464,0.3539954
20210210T0000,-0.51975465,-5.8197546,-3.367255
20210211T0000,-3.7597547,-9.169755,-6.2735047
20210212T0000,-2.4597545,-10.929754,-6.773088
20210213T0000,-2.1697545,-12.429754,-7.1905885
20210214T0000,0.17024541,-12.989755,-6.5472546
20210215T0000,3.7002454,-5.829755,-0.27058792
20210216T0000,11.150246,3.0102453,6.109829
20210217T0000,11.960245,0.9902454,7.028996
20210218T0000,10.970245,0.2102454,5.3077455
20210219T0000,14.300245,4.3702455,9.062745
20210220T0000,16.070246,2.3802454,7.6581616
20210221T0000,16.600245,1.5702454,7.729412
20210222T0000,15.260245,2.0202456,7.318995
20210223T0000,17.960245,2.6602454,8.876496
20210224T0000,18.870245,4.2902455,9.960662
20210225T0000,19.710245,3.7002454,9.8102455
20210226T0000,15.140245,3.2902455,8.832746
20210227T0000,10.740245,3.3902454,7.194828
20210228T0000,10.200245,-0.1897546,3.8848288
20210301T0000,12.360246,-2.1797547,4.3610787
20210302T0000,16.240246,-0.4497546,6.496912
20210303T0000,12.490245,1.6902454,6.574412
20210304T0000,13.870245,4.9102454,8.74233
20210305T0000,6.670245,2.5902452,5.3994117
20210306T0000,8.100245,-1.0697546,2.6406624
20210307T0000,11.350245,-1.3597546,4.787329
20210308T0000,9.660245,-0.029754579,4.235245
20210309T0000,8.940246,-0.7997546,4.044829
20210310T0000,11.840245,0.23024541,6.510245
20210311T0000,14.160245,8.270246,11.440661
20210312T0000,11.090245,6.0802455,8.756495
20210313T0000,11.800245,5.9902453,8.343579
20210314T0000,6.150245,3.1102452,4.5210786
20210315T0000,7.920245,3.6402454,5.3410783
20210316T0000,7.110245,3.1202455,4.9831624
20210317T0000,5.960245,2.1002455,3.818162
20210318T0000,5.9502454,-0.21975458,2.9656618
20210319T0000,6.1802454,-2.5297546,2.2373288
20210320T0000,5.130245,-2.0397544,1.8652455
20210321T0000,6.3202453,0.9602454,3.6973286
20210322T0000,6.1402454,2.0802455,4.286079
20210323T0000,12.040245,-0.40975457,5.5881615
20210324T0000,16.500246,-1.1197546,7.001079
20210325T0000,16.570246,1.2602453,9.190661
20210326T0000,17.160246,3.0802455,10.670245
20210327T0000,11.740245,1.5102453,8.581912
20210328T0000,16.300245,-1.3297546,7.546913
20210329T0000,20.850245,2.5702453,11.100662
20210330T0000,22.500246,4.630245,12.996495
20210331T0000,24.860245,5.5502453,14.716911
20210401T0000,24.820246,7.750245,15.874829
20210402T0000,16.140245,6.500245,11.521913
20210403T0000,10.740245,3.0302453,6.766912
20210404T0000,14.510245,-0.41975462,7.148995
20210405T0000,14.770246,1.2102454,6.6827455
20210406T0000,5.190245,-2.4597545,1.7719121
20210407T0000,5.150245,-0.33975458,2.4273288
20210408T0000,12.0602455,-0.86975455,5.073162
20210409T0000,18.260244,0.2802454,9.976079
20210410T0000,17.900246,10.040245,13.621913
20210411T0000,16.750246,6.5602455,11.578578
20210412T0000,8.400246,1.3802454,4.6844125
20210413T0000,7.9702454,0.030245423,4.1414957
20210414T0000,9.090245,-1.9597546,3.9173286
20210415T0000,9.020246,-1.3097546,4.2673287
20210416T0000,9.680245,-1.0797546,4.789829
20210417T0000,10.800245,-1.2697546,6.0260787
20210418T0000,9.880245,4.130245,7.0898285
20210419T0000,11.940246,1.1402454,7.711077
20210420T0000,16.380245,1.2502453,8.990246
20210421T0000,17.860245,1.9302454,10.344829
20210422T0000,16.820246,4.7602453,10.767327
20210423T0000,19.160246,2.1202455,10.706496
20210424T0000,21.230246,1.7202454,11.818161
20210425T0000,19.150246,4.9302454,12.374413
20210426T0000,19.270245,5.4502454,11.783578
20210427T0000,19.260244,3.0102453,11.5169115
20210428T0000,20.630245,6.290245,13.408578
20210429T0000,15.800245,10.450245,12.947746
20210430T0000,10.680245,5.770245,8.366496
20210501T0000,9.900246,4.8402452,7.7289963
20210502T0000,11.030245,4.7202454,8.167329
20210503T0000,15.280245,2.4202454,9.080661
20210504T0000,16.930244,5.540245,12.21066
20210505T0000,12.240245,6.400245,9.886913
20210506T0000,11.980246,6.8902454,9.643579
20210507T0000,14.370245,4.7202454,10.441913
20210508T0000,21.050245,3.0802455,12.344829
20210509T0000,28.030245,9.190246,19.259829
20210510T0000,18.000246,12.450245,15.317748
20210511T0000,13.630245,10.830245,12.411078
20210512T0000,15.970245,8.430245,12.189411
20210513T0000,14.190246,7.170245,10.749413
20210514T0000,16.280245,5.210245,11.212746
20210515T0000,14.340245,8.3102455,10.680245
20210516T0000,14.830245,8.800245,11.656911
20210517T0000,13.710245,9.760245,11.293162
20210518T0000,16.080246,9.270246,11.944412
20210519T0000,12.770246,8.150246,10.37733
20210520T0000,16.790245,8.770246,12.065662
20210521T0000,13.770246,9.200245,11.399827
20210522T0000,17.760244,9.180245,12.994411
20210523T0000,16.760244,8.3102455,12.411495
20210524T0000,18.360245,6.440245,12.115246
20210525T0000,15.980246,8.690246,11.879828
20210526T0000,13.820246,10.510245,12.481498
20210527T0000,17.590246,7.6402454,12.6714945
20210528T0000,20.370245,5.040245,13.745247
20210529T0000,21.220245,9.760245,15.503578
20210530T0000,22.030245,7.690245,15.425663
20210531T0000,23.390245,7.1002455,15.835662
20210601T0000,26.070246,9.030245,18.017746
20210602T0000,25.380245,11.660245,19.111494
20210603T0000,26.710245,16.350246,21.343994
20210604T0000,27.020245,16.050245,20.82566
20210605T0000,19.200245,15.790245,17.512747
20210606T0000,18.150246,15.150246,16.681494
20210607T0000,19.530245,15.590245,17.328577
20210608T0000,21.120245,15.800245,18.092745
20210609T0000,23.420246,14.520246,18.617748
20210610T0000,25.690245,13.400246,19.810247
20210611T0000,27.160246,13.680245,21.14358
20210612T0000,27.670246,14.690246,21.868576
20210613T0000,26.190245,15.050245,20.613577
20210614T0000,28.950245,11.620245,21.092329
20210615T0000,30.150246,13.120245,22.788164
20210616T0000,32.270245,14.260245,24.067331
20210617T0000,32.510246,17.450245,25.692327
20210618T0000,32.150246,19.820246,25.743162
20210619T0000,32.100246,19.110245,25.87233
20210620T0000,28.230246,16.280245,22.512747
20210621T0000,27.590246,16.270247,20.99108
20210622T0000,23.480246,16.110247,19.387743
20210623T0000,25.520245,16.320246,20.01858
20210624T0000,21.500246,15.3102455,17.60691
20210625T0000,20.780245,15.0602455,17.571077
20210626T0000,25.790245,13.450245,19.569414
20210627T0000,28.250246,14.700245,21.802328
20210628T0000,28.140245,17.240246,20.996077
20210629T0000,20.650246,15.040245,17.977745
20210630T0000,19.030245,12.860246,15.289829
20210701T0000,21.050245,13.710245,17.349411
20210702T0000,24.560246,11.080245,18.509413
20210703T0000,24.740246,12.320246,18.747746
20210704T0000,22.890245,15.870245,18.507746
20210705T0000,23.950245,15.680245,19.155245
20210706T0000,21.020245,15.210245,17.510664
20210707T0000,23.180244,15.440246,18.969828
20210708T0000,19.370245,15.390245,17.40191
20210709T0000,22.600245,14.520246,18.598993
20210710T0000,26.430244,11.600245,19.05733
20210711T0000,23.500246,14.080245,18.475246
20210712T0000,25.270245,12.900246,19.28691
20210713T0000,17.900246,13.040245,15.481495
20210714T0000,19.340246,13.3102455,15.975244
20210715T0000,18.940245,14.630245,17.012743
20210716T0000,21.130245,15.720245,18.421495
20210717T0000,23.110245,16.340246,19.625244
20210718T0000,26.380245,16.840246,21.500246
20210719T0000,27.840246,14.710245,21.63149
20210720T0000,25.780245,15.290245,20.212746
20210721T0000,26.800245,15.010245,20.607328
20210722T0000,27.730246,16.080246,21.369415
20210723T0000,28.580246,14.000245,21.826498
20210724T0000,25.460245,17.980246,21.18316
20210725T0000,23.880245,16.910246,19.995247
20210726T0000,23.630245,16.370245,19.75983
20210727T0000,25.770245,14.380245,20.134829
20210728T0000,24.140245,16.490246,19.662329
20210729T0000,25.110245,15.570246,20.005663
20210730T0000,27.250246,14.120245,20.510664
20210731T0000,23.320246,15.900246,19.24941
20210801T0000,18.870245,13.700245,15.956496
20210802T0000,21.990246,12.980246,17.204828
20210803T0000,18.630245,12.780245,15.537746
20210804T0000,18.010244,13.120245,15.825245
20210805T0000,20.970245,13.390245,17.162329
20210806T0000,22.840246,14.990245,18.743162
20210807T0000,19.110245,15.050245,16.382746
20210808T0000,21.270245,12.350245,17.366495
20210809T0000,22.870245,10.450245,17.211079
20210810T0000,26.630245,12.420245,19.766912
20210811T0000,29.080246,15.010245,21.758163
